latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_CGVD28_HTv2,rcvr_clk_ns
74.7194216,-94.9890735,59.098,1.77694,192,2014,67.276,-404131.424
74.7194216,-94.9890734,59.104,1.77722,192,2014,67.282,-404953.133
74.7194217,-94.9890741,59.102,1.77750,192,2014,67.280,-405777.148
74.7194214,-94.9890737,59.102,1.77778,192,2014,67.280,-406603.561
74.7194214,-94.9890735,59.113,1.77806,192,2014,67.291,-407431.895
74.7194218,-94.9890716,59.174,1.77833,192,2014,67.352,-408262.345
74.7194250,-94.9890690,59.207,1.77861,192,2014,67.385,-409094.761
74.7194334,-94.9890578,59.384,1.77889,192,2014,67.562,-409929.495
74.7194438,-94.9890350,59.449,1.77917,192,2014,67.627,-410766.005
74.7194517,-94.9890151,59.479,1.77944,192,2014,67.657,-411604.011
74.7194603,-94.9889950,59.473,1.77972,192,2014,67.651,-412443.488
74.7194682,-94.9889704,59.416,1.78000,192,2014,67.594,-413284.249
74.7194757,-94.9889440,59.480,1.78028,192,2014,67.657,-414126.281
74.7194820,-94.9889102,59.392,1.78056,192,2014,67.569,-414969.730
74.7194871,-94.9888703,59.419,1.78083,192,2014,67.596,-415814.188
74.7194948,-94.9888344,59.402,1.78111,192,2014,67.579,-416660.006
74.7195034,-94.9888046,59.396,1.78139,192,2014,67.573,-417506.966
74.7195129,-94.9887734,59.425,1.78167,192,2014,67.602,-418355.205
74.7195235,-94.9887494,59.366,1.78194,192,2014,67.543,-419204.560
74.7195346,-94.9887348,59.434,1.78222,192,2014,67.611,-420054.751
74.7195459,-94.9887255,59.477,1.78250,192,2014,67.654,-420906.048
74.7195575,-94.9887256,59.395,1.78278,192,2014,67.572,-421758.341
74.7195688,-94.9887319,59.446,1.78306,192,2014,67.623,-422611.470
74.7195793,-94.9887423,59.424,1.78333,192,2014,67.601,-423465.676
74.7195889,-94.9887608,59.496,1.78361,192,2014,67.673,-424320.678
74.7195993,-94.9887830,59.517,1.78389,192,2014,67.694,-425176.489
74.7196080,-94.9888105,59.533,1.78417,192,2014,67.710,-426033.143
74.7196154,-94.9888430,59.566,1.78444,192,2014,67.743,-426890.804
74.7196229,-94.9888778,59.540,1.78472,192,2014,67.717,-427749.290
74.7196292,-94.9889170,59.587,1.78500,192,2014,67.764,-428608.507
74.7196332,-94.9889631,59.592,1.78528,192,2014,67.769,-429468.526
74.7196344,-94.9890134,59.510,1.78556,192,2014,67.687,-430329.175
74.7196347,-94.9890609,59.549,1.78583,192,2014,67.726,-431190.618
74.7196340,-94.9891101,59.539,1.78611,192,2014,67.716,-432052.996
74.7196339,-94.9891617,59.454,1.78639,192,2014,67.631,-432916.032
74.7196332,-94.9892177,59.419,1.78667,192,2014,67.596,-433779.573
74.7196320,-94.9892710,59.473,1.78694,192,2014,67.650,-434643.645
74.7196320,-94.9893255,59.379,1.78722,192,2014,67.556,-435508.443
74.7196315,-94.9893771,59.367,1.78750,192,2014,67.544,-436373.958
74.7196306,-94.9894286,59.412,1.78778,192,2014,67.589,-437239.992
74.7196286,-94.9894806,59.386,1.78806,192,2014,67.563,-438106.719
74.7196260,-94.9895314,59.297,1.78833,192,2014,67.474,-438973.958
74.7196235,-94.9895827,59.291,1.78861,192,2014,67.469,-439841.783
74.7196207,-94.9896343,59.318,1.78889,192,2014,67.496,-440710.165
74.7196197,-94.9896861,59.222,1.78917,192,2014,67.400,-441579.278
74.7196187,-94.9897363,59.219,1.78944,192,2014,67.397,-442448.861
74.7196177,-94.9897860,59.240,1.78972,192,2014,67.418,-443319.107
74.7196166,-94.9898376,59.149,1.79000,192,2014,67.327,-444189.816
74.7196149,-94.9898853,59.183,1.79028,192,2014,67.361,-445060.921
74.7196146,-94.9899365,59.168,1.79056,192,2014,67.346,-445932.544
74.7196148,-94.9899860,59.119,1.79083,192,2014,67.297,-446804.689
74.7196123,-94.9900339,59.179,1.79111,192,2014,67.357,-447677.188
74.7196087,-94.9900816,59.141,1.79139,192,2014,67.319,-448550.345
74.7196045,-94.9901243,59.110,1.79167,192,2014,67.288,-449424.070
74.7196002,-94.9901602,59.131,1.79194,192,2014,67.309,-450298.124
74.7195978,-94.9901909,59.119,1.79222,192,2014,67.297,-451172.540
74.7195947,-94.9902210,59.082,1.79250,192,2014,67.260,-452047.552
74.7195918,-94.9902546,59.085,1.79278,192,2014,67.263,-452922.837
74.7195900,-94.9902804,59.048,1.79306,192,2014,67.226,-453798.508
74.7195894,-94.9902915,59.075,1.79333,192,2014,67.253,-454674.642
74.7195885,-94.9902941,59.078,1.79361,192,2014,67.256,-455551.153
74.7195881,-94.9902948,59.054,1.79389,192,2014,67.232,-456427.940
74.7195884,-94.9902949,59.039,1.79417,192,2014,67.217,-457305.191
74.7195887,-94.9902944,59.046,1.79444,192,2014,67.224,-458182.965
74.7195889,-94.9902941,59.049,1.79472,192,2014,67.227,-459061.173
74.7195886,-94.9902954,59.010,1.79500,192,2014,67.188,-459939.544
74.7195877,-94.9902955,58.987,1.79528,192,2014,67.165,-460818.372
