latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_CGVD28_HTv2,rcvr_clk_ns
82.7027658,-81.3097705,24.803,23.48417,195,2014,7.672,461398.986
82.7027659,-81.3097695,24.832,23.48500,195,2014,7.701,461854.368
82.7027660,-81.3097700,24.798,23.48583,195,2014,7.667,462300.371
82.7027618,-81.3098362,24.743,23.48667,195,2014,7.612,462738.340
82.7027618,-81.3098361,24.727,23.48750,195,2014,7.596,463168.068
82.7027619,-81.3098360,24.785,23.48833,195,2014,7.654,463589.889
82.7027618,-81.3098356,24.781,23.48917,195,2014,7.650,464003.662
82.7027619,-81.3098357,24.775,23.49000,195,2014,7.644,464409.460
82.7027619,-81.3098356,24.781,23.49083,195,2014,7.650,464807.088
82.7027619,-81.3098356,24.776,23.49167,195,2014,7.645,465196.428
82.7027619,-81.3098357,24.776,23.49250,195,2014,7.645,465577.434
82.7027620,-81.3098354,24.773,23.49333,195,2014,7.642,465950.047
82.7027620,-81.3098361,24.794,23.49417,195,2014,7.663,466314.131
82.7027620,-81.3098362,24.786,23.49500,195,2014,7.655,466669.461
82.7027620,-81.3098364,24.796,23.49583,195,2014,7.665,467016.370
82.7027620,-81.3098361,24.789,23.49667,195,2014,7.658,467354.701
82.7027621,-81.3098359,24.808,23.49750,195,2014,7.677,467684.701
82.7027620,-81.3098361,24.789,23.49833,195,2014,7.658,468006.180
82.7027620,-81.3098359,24.796,23.49917,195,2014,7.665,468319.410
82.7027620,-81.3098359,24.781,23.50000,195,2014,7.650,468624.435
82.7027620,-81.3098354,24.798,23.50083,195,2014,7.667,468921.135
82.7027620,-81.3098349,24.778,23.50167,195,2014,7.647,469209.535
82.7027619,-81.3098342,24.796,23.50250,195,2014,7.665,469489.651
82.7027620,-81.3098354,24.768,23.50333,195,2014,7.637,469761.569
82.7027620,-81.3098354,24.789,23.50417,195,2014,7.658,470025.522
82.7027620,-81.3098362,24.737,23.50500,195,2014,7.606,470281.331
82.7027620,-81.3098362,24.677,23.50583,195,2014,7.546,470529.332
82.7027620,-81.3098353,24.686,23.50667,195,2014,7.555,470769.893
82.7027621,-81.3098354,24.761,23.50750,195,2014,7.630,471003.162
82.7027621,-81.3098353,24.783,23.50833,195,2014,7.652,471229.061
82.7027621,-81.3098352,24.765,23.50917,195,2014,7.634,471447.595
82.7027621,-81.3098352,24.737,23.51000,195,2014,7.606,471659.152
