latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_CGVD28_HTv2,rcvr_clk_ns
82.7141192,-81.3144316,22.436,15.33583,196,2014,5.275,192706.310
82.7141192,-81.3144321,22.457,15.33667,196,2014,5.296,193045.772
82.7141192,-81.3144325,22.468,15.33750,196,2014,5.307,193377.671
82.7141192,-81.3144319,22.435,15.33833,196,2014,5.274,193702.124
82.7141192,-81.3144327,22.455,15.33917,196,2014,5.294,194018.910
82.7141193,-81.3144305,22.388,15.34000,196,2014,5.227,194327.869
82.7141192,-81.3144315,22.411,15.34083,196,2014,5.250,194629.317
82.7141192,-81.3144318,22.454,15.34167,196,2014,5.293,194922.939
82.7141193,-81.3144323,22.504,15.34250,196,2014,5.343,195208.634
82.7141192,-81.3144306,22.495,15.34333,196,2014,5.334,195486.104
82.7141192,-81.3144318,22.569,15.34417,196,2014,5.408,195756.099
82.7141192,-81.3144320,22.514,15.34500,196,2014,5.353,196017.045
82.7141192,-81.3144323,22.505,15.34583,196,2014,5.344,196269.765
82.7141192,-81.3144321,22.512,15.34667,196,2014,5.351,196514.365
82.7141193,-81.3144317,22.502,15.34750,196,2014,5.341,196750.552
82.7141192,-81.3144318,22.505,15.34833,196,2014,5.344,196978.793
82.7141192,-81.3144321,22.500,15.34917,196,2014,5.339,197198.858
82.7141192,-81.3144320,22.486,15.35000,196,2014,5.325,197410.956
82.7141192,-81.3144323,22.501,15.35083,196,2014,5.340,197614.927
82.7141193,-81.3144319,22.494,15.35167,196,2014,5.333,197810.563
82.7141193,-81.3144321,22.489,15.35250,196,2014,5.328,197998.218
82.7141193,-81.3144322,22.477,15.35333,196,2014,5.316,198177.684
82.7141193,-81.3144319,22.468,15.35417,196,2014,5.307,198349.235
82.7141193,-81.3144316,22.467,15.35500,196,2014,5.306,198512.915
82.7141192,-81.3144318,22.485,15.35583,196,2014,5.324,198669.046
82.7141193,-81.3144314,22.483,15.35667,196,2014,5.322,198817.537
82.7141193,-81.3144315,22.487,15.35750,196,2014,5.326,198958.914
82.7141192,-81.3144317,22.490,15.35833,196,2014,5.329,199092.978
82.7141192,-81.3144316,22.504,15.35917,196,2014,5.343,199219.802
82.7141192,-81.3144316,22.506,15.36000,196,2014,5.345,199339.521
82.7141192,-81.3144318,22.497,15.36083,196,2014,5.336,199452.404
82.7141192,-81.3144318,22.501,15.36167,196,2014,5.340,199558.355
82.7141192,-81.3144321,22.499,15.36250,196,2014,5.338,199657.424
82.7141192,-81.3144320,22.493,15.36333,196,2014,5.332,199749.255
82.7141192,-81.3144320,22.493,15.36417,196,2014,5.332,199834.245
82.7141192,-81.3144320,22.489,15.36500,196,2014,5.328,199912.172
82.7141192,-81.3144318,22.501,15.36583,196,2014,5.340,199983.042
