latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_CGVD28_HTv2,rcvr_clk_ns
82.7172161,-81.3569286,24.877,18.21083,196,2014,7.724,253800.844
82.7172156,-81.3569326,24.806,18.21167,196,2014,7.653,252363.439
82.7172159,-81.3569321,24.826,18.21250,196,2014,7.673,250925.428
82.7172161,-81.3569323,24.814,18.21333,196,2014,7.661,249486.941
82.7172161,-81.3569317,24.837,18.21500,196,2014,7.684,246609.123
82.7172159,-81.3569312,24.903,18.21583,196,2014,7.750,245169.905
82.7172160,-81.3569326,24.884,18.21667,196,2014,7.731,243730.504
82.7172158,-81.3569323,24.905,18.21750,196,2014,7.752,242290.957
82.7172158,-81.3569315,24.939,18.21833,196,2014,7.786,240851.264
82.7172159,-81.3569316,24.956,18.21917,196,2014,7.803,239411.458
82.7172155,-81.3569321,24.972,18.22000,196,2014,7.819,237971.481
82.7172157,-81.3569319,25.000,18.22083,196,2014,7.847,236531.541
82.7172158,-81.3569316,25.014,18.22167,196,2014,7.861,235091.623
82.7172157,-81.3569315,25.014,18.22250,196,2014,7.861,233651.657
82.7172159,-81.3569314,25.034,18.22333,196,2014,7.881,232211.800
82.7172159,-81.3569311,24.907,18.22417,196,2014,7.754,230771.752
82.7172157,-81.3569308,25.022,18.22500,196,2014,7.869,229332.337
82.7172157,-81.3569310,24.996,18.22583,196,2014,7.843,227892.780
82.7172156,-81.3569313,25.004,18.22667,196,2014,7.851,226453.554
82.7172159,-81.3569317,24.960,18.22750,196,2014,7.807,225014.393
82.7172159,-81.3569319,24.959,18.22833,196,2014,7.806,223575.643
82.7172161,-81.3569317,24.949,18.22917,196,2014,7.796,222136.804
82.7172159,-81.3569320,24.970,18.23000,196,2014,7.817,220698.391
82.7172161,-81.3569316,24.978,18.23083,196,2014,7.825,219260.275
82.7172158,-81.3569318,25.002,18.23167,196,2014,7.849,217822.133
82.7172159,-81.3569305,25.100,18.23250,196,2014,7.947,216384.334
82.7172158,-81.3569318,24.985,18.23333,196,2014,7.832,214946.416
82.7172158,-81.3569316,25.018,18.23417,196,2014,7.865,213508.951
82.7172158,-81.3569321,25.001,18.23500,196,2014,7.848,212071.584
82.7172158,-81.3569319,24.968,18.23583,196,2014,7.815,210634.357
82.7172158,-81.3569314,24.996,18.23667,196,2014,7.843,209197.705
82.7172157,-81.3569314,24.970,18.23750,196,2014,7.817,207761.257
82.7172158,-81.3569313,24.942,18.23833,196,2014,7.789,206324.799
82.7172158,-81.3569307,24.958,18.23917,196,2014,7.805,204888.588
82.7172158,-81.3569306,25.001,18.24000,196,2014,7.848,203452.792
82.7172158,-81.3569310,24.986,18.24083,196,2014,7.833,202017.143
82.7172158,-81.3569304,24.927,18.24167,196,2014,7.774,200581.874
82.7172158,-81.3569313,24.965,18.24250,196,2014,7.812,199147.059
82.7172158,-81.3569323,24.934,18.24333,196,2014,7.781,197712.187
82.7172158,-81.3569308,24.978,18.24417,196,2014,7.825,196277.718
82.7172158,-81.3569313,24.978,18.24500,196,2014,7.825,194843.584
82.7172157,-81.3569316,24.954,18.24583,196,2014,7.801,193409.443
82.7172158,-81.3569316,24.930,18.24667,196,2014,7.777,191975.491
82.7172158,-81.3569319,24.939,18.24750,196,2014,7.786,190541.904
