latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_CGVD28_HTv2,rcvr_clk_ns
82.7203170,-81.3961319,23.184,19.56833,196,2014,6.039,86142.308
82.7203167,-81.3961332,23.238,19.56917,196,2014,6.093,86442.400
82.7203166,-81.3961311,23.234,19.57000,196,2014,6.089,86730.925
82.7203165,-81.3961311,23.220,19.57083,196,2014,6.075,87007.747
82.7203165,-81.3961315,23.231,19.57167,196,2014,6.086,87272.922
82.7203166,-81.3961311,23.235,19.57250,196,2014,6.090,87526.118
82.7203166,-81.3961307,23.215,19.57333,196,2014,6.070,87767.139
82.7203166,-81.3961313,23.208,19.57417,196,2014,6.063,87995.919
82.7203166,-81.3961316,23.230,19.57500,196,2014,6.085,88212.388
82.7203166,-81.3961314,23.231,19.57583,196,2014,6.086,88416.334
82.7203166,-81.3961317,23.197,19.57667,196,2014,6.052,88607.510
82.7203166,-81.3961322,23.199,19.57750,196,2014,6.054,88786.170
82.7203166,-81.3961319,23.238,19.57833,196,2014,6.093,88952.413
82.7203165,-81.3961315,23.202,19.57917,196,2014,6.057,89105.644
82.7203166,-81.3961316,23.206,19.58000,196,2014,6.061,89246.231
82.7203167,-81.3961323,23.211,19.58083,196,2014,6.066,89374.300
82.7203167,-81.3961323,23.241,19.58167,196,2014,6.096,89489.907
82.7203166,-81.3961325,23.219,19.58250,196,2014,6.074,89593.228
82.7203165,-81.3961322,23.205,19.58333,196,2014,6.060,89684.358
82.7203165,-81.3961314,23.201,19.58417,196,2014,6.056,89763.287
82.7203165,-81.3961308,23.211,19.58500,196,2014,6.066,89830.181
82.7203166,-81.3961313,23.227,19.58583,196,2014,6.082,89885.283
82.7203166,-81.3961315,23.221,19.58667,196,2014,6.076,89928.576
82.7203166,-81.3961316,23.233,19.58750,196,2014,6.088,89960.211
82.7203165,-81.3961313,23.231,19.58833,196,2014,6.086,89980.266
82.7203165,-81.3961315,23.228,19.58917,196,2014,6.083,89988.816
82.7203165,-81.3961315,23.227,19.59000,196,2014,6.082,89985.850
82.7203165,-81.3961317,23.225,19.59083,196,2014,6.080,89971.348
82.7203165,-81.3961314,23.233,19.59167,196,2014,6.088,89945.907
82.7203166,-81.3961317,23.251,19.59250,196,2014,6.106,89909.259
82.7203165,-81.3961316,23.239,19.59333,196,2014,6.094,89861.676
82.7203165,-81.3961318,23.258,19.59417,196,2014,6.113,89803.139
82.7203165,-81.3961320,23.237,19.59500,196,2014,6.092,89733.717
82.7203165,-81.3961323,23.248,19.59583,196,2014,6.103,89653.594
82.7203165,-81.3961320,23.242,19.59667,196,2014,6.097,89563.099
82.7203166,-81.3961317,23.269,19.59750,196,2014,6.124,89462.395
82.7203166,-81.3961318,23.246,19.59833,196,2014,6.101,89351.365
82.7203165,-81.3961314,23.255,19.59917,196,2014,6.110,89230.205
82.7203165,-81.3961318,23.237,19.60000,196,2014,6.092,89098.870
82.7203165,-81.3961322,23.226,19.60083,196,2014,6.081,88957.626
82.7203166,-81.3961318,23.280,19.60167,196,2014,6.135,88806.588
82.7203166,-81.3961325,23.303,19.60250,196,2014,6.158,88645.746
82.7203166,-81.3961324,23.281,19.60333,196,2014,6.136,88475.118
82.7203165,-81.3961316,23.254,19.60417,196,2014,6.109,88295.168
82.7203165,-81.3961317,23.236,19.60500,196,2014,6.091,88105.728
82.7203165,-81.3961312,23.233,19.60583,196,2014,6.088,87906.961
82.7203165,-81.3961309,23.228,19.60667,196,2014,6.083,87698.852
82.7203164,-81.3961309,23.227,19.60750,196,2014,6.082,87481.634
82.7203165,-81.3961314,23.234,19.60833,196,2014,6.089,87255.344
82.7203165,-81.3961311,23.212,19.60917,196,2014,6.067,87020.354
82.7203165,-81.3961311,23.217,19.61000,196,2014,6.072,86776.406
82.7203165,-81.3961314,23.220,19.61083,196,2014,6.075,86523.725
82.7203164,-81.3961315,23.199,19.61167,196,2014,6.054,86262.348
82.7203165,-81.3961311,23.220,19.61250,196,2014,6.075,85992.463
82.7203165,-81.3961313,23.211,19.61333,196,2014,6.066,85714.035
82.7203165,-81.3961315,23.235,19.61417,196,2014,6.090,85427.139
82.7203165,-81.3961313,23.240,19.61500,196,2014,6.095,85132.101
82.7203165,-81.3961312,23.258,19.61583,196,2014,6.113,84828.676
82.7203165,-81.3961315,23.253,19.61667,196,2014,6.108,84517.085
82.7203165,-81.3961315,23.253,19.61750,196,2014,6.108,84197.533
82.7203165,-81.3961320,23.260,19.61833,196,2014,6.115,83870.025
82.7203165,-81.3961319,23.258,19.61917,196,2014,6.113,83534.629
82.7203165,-81.3961321,23.259,19.62000,196,2014,6.114,83191.368
82.7203165,-81.3961320,23.256,19.62083,196,2014,6.111,82840.305
82.7203165,-81.3961320,23.243,19.62167,196,2014,6.098,82481.634
82.7203165,-81.3961319,23.244,19.62250,196,2014,6.099,82115.514
82.7203165,-81.3961318,23.264,19.62333,196,2014,6.119,81741.836
82.7203165,-81.3961316,23.270,19.62417,196,2014,6.125,81360.828
82.7203166,-81.3961318,23.267,19.62500,196,2014,6.122,80972.515
82.7203166,-81.3961319,23.279,19.62583,196,2014,6.134,80577.030
82.7203166,-81.3961320,23.275,19.62667,196,2014,6.130,80174.055
82.7203166,-81.3961322,23.280,19.62750,196,2014,6.135,79764.029
82.7203166,-81.3961321,23.287,19.62833,196,2014,6.142,79346.960
82.7203165,-81.3961320,23.266,19.62917,196,2014,6.121,78922.606
82.7203165,-81.3961319,23.267,19.63000,196,2014,6.122,78491.224
82.7203165,-81.3961321,23.270,19.63083,196,2014,6.125,78052.915
82.7203166,-81.3961317,23.281,19.63167,196,2014,6.136,77607.831
82.7203165,-81.3961319,23.284,19.63250,196,2014,6.139,77156.219
82.7203165,-81.3961317,23.260,19.63333,196,2014,6.115,76697.744
82.7203165,-81.3961316,23.258,19.63417,196,2014,6.113,76232.659
82.7203165,-81.3961316,23.265,19.63500,196,2014,6.120,75760.930
82.7203165,-81.3961317,23.274,19.63583,196,2014,6.129,75282.598
82.7203166,-81.3961319,23.268,19.63667,196,2014,6.123,74797.685
82.7203166,-81.3961316,23.270,19.63750,196,2014,6.125,74306.229
82.7203165,-81.3961317,23.264,19.63833,196,2014,6.119,73808.541
82.7203165,-81.3961315,23.253,19.63917,196,2014,6.108,73304.399
82.7203166,-81.3961316,23.248,19.64000,196,2014,6.103,72793.911
82.7203165,-81.3961315,23.252,19.64083,196,2014,6.107,72277.079
82.7203165,-81.3961316,23.248,19.64167,196,2014,6.103,71753.881
82.7203165,-81.3961317,23.241,19.64250,196,2014,6.096,71224.505
82.7203165,-81.3961316,23.242,19.64333,196,2014,6.097,70689.128
82.7203165,-81.3961316,23.250,19.64417,196,2014,6.105,70147.589
82.7203165,-81.3961316,23.237,19.64500,196,2014,6.092,69599.942
82.7203165,-81.3961312,23.230,19.64583,196,2014,6.085,69046.330
82.7203165,-81.3961314,23.233,19.64667,196,2014,6.088,68486.664
82.7203165,-81.3961314,23.236,19.64750,196,2014,6.091,67921.284
82.7203166,-81.3961316,23.244,19.64833,196,2014,6.099,67349.954
82.7203166,-81.3961318,23.253,19.64917,196,2014,6.108,66772.858
82.7203166,-81.3961320,23.252,19.65000,196,2014,6.107,66189.885
82.7203166,-81.3961320,23.244,19.65083,196,2014,6.099,65601.154
