latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_CGVD28_HTv2,rcvr_clk_ns
82.7194060,-81.3993857,24.543,16.32500,197,2014,7.403,-487273.964
82.7194052,-81.3993842,24.259,16.32583,197,2014,7.119,-486809.909
82.7194055,-81.3993842,24.369,16.32667,197,2014,7.229,-486350.468
82.7194054,-81.3993849,24.363,16.32750,197,2014,7.223,-485894.422
82.7194054,-81.3993844,24.338,16.32833,197,2014,7.198,-485440.001
82.7194053,-81.3993846,24.339,16.32917,197,2014,7.199,-484986.757
82.7194053,-81.3993848,24.323,16.33000,197,2014,7.183,-484534.500
82.7194053,-81.3993849,24.348,16.33083,197,2014,7.208,-484082.374
82.7194053,-81.3993849,24.328,16.33167,197,2014,7.188,-483631.699
82.7194053,-81.3993845,24.322,16.33250,197,2014,7.182,-483181.992
82.7194053,-81.3993846,24.313,16.33333,197,2014,7.173,-482733.443
82.7194053,-81.3993846,24.313,16.33417,197,2014,7.173,-482285.839
82.7194052,-81.3993845,24.260,16.33500,197,2014,7.120,-481839.547
82.7194052,-81.3993847,24.253,16.33583,197,2014,7.113,-481394.077
82.7194052,-81.3993847,24.253,16.33667,197,2014,7.113,-480950.274
82.7194052,-81.3993849,24.281,16.33750,197,2014,7.141,-480508.288
82.7194052,-81.3993849,24.306,16.33833,197,2014,7.166,-480068.365
82.7194052,-81.3993850,24.324,16.33917,197,2014,7.184,-479630.394
82.7194052,-81.3993849,24.335,16.34000,197,2014,7.195,-479195.008
82.7194052,-81.3993851,24.316,16.34083,197,2014,7.176,-478762.283
82.7194053,-81.3993848,24.320,16.34167,197,2014,7.180,-478331.910
82.7194052,-81.3993848,24.324,16.34250,197,2014,7.184,-477904.559
82.7194052,-81.3993847,24.318,16.34333,197,2014,7.178,-477480.190
82.7194052,-81.3993846,24.291,16.34417,197,2014,7.151,-477059.078
82.7194052,-81.3993844,24.292,16.34500,197,2014,7.152,-476640.820
82.7194052,-81.3993845,24.290,16.34583,197,2014,7.150,-476225.944
82.7194052,-81.3993846,24.295,16.34667,197,2014,7.155,-475814.360
82.7194052,-81.3993844,24.319,16.34750,197,2014,7.179,-475406.043
82.7194053,-81.3993843,24.333,16.34833,197,2014,7.193,-475001.573
82.7194052,-81.3993842,24.317,16.34917,197,2014,7.177,-474600.880
82.7194053,-81.3993844,24.304,16.35000,197,2014,7.164,-474203.729
82.7194053,-81.3993848,24.333,16.35083,197,2014,7.193,-473810.139
82.7194053,-81.3993845,24.341,16.35167,197,2014,7.201,-473420.117
82.7194053,-81.3993845,24.337,16.35250,197,2014,7.197,-473034.118
82.7194053,-81.3993846,24.318,16.35333,197,2014,7.178,-472652.148
82.7194053,-81.3993844,24.302,16.35417,197,2014,7.162,-472274.031
82.7194053,-81.3993848,24.285,16.35500,197,2014,7.145,-471899.595
82.7194053,-81.3993844,24.277,16.35583,197,2014,7.137,-471529.032
82.7194053,-81.3993846,24.269,16.35667,197,2014,7.129,-471162.373
82.7194053,-81.3993843,24.284,16.35750,197,2014,7.144,-470799.521
82.7194053,-81.3993844,24.295,16.35833,197,2014,7.155,-470440.504
82.7194053,-81.3993847,24.313,16.35917,197,2014,7.173,-470085.406
82.7194053,-81.3993846,24.339,16.36000,197,2014,7.199,-469734.673
82.7194053,-81.3993844,24.325,16.36083,197,2014,7.185,-469388.064
82.7194053,-81.3993846,24.318,16.36167,197,2014,7.178,-469045.384
82.7194052,-81.3993847,24.306,16.36250,197,2014,7.166,-468706.869
82.7194053,-81.3993847,24.306,16.36333,197,2014,7.166,-468372.559
82.7194052,-81.3993845,24.280,16.36417,197,2014,7.140,-468042.499
82.7194053,-81.3993844,24.283,16.36500,197,2014,7.143,-467716.534
82.7194053,-81.3993848,24.302,16.36583,197,2014,7.162,-467394.926
82.7194053,-81.3993845,24.307,16.36667,197,2014,7.167,-467077.564
82.7194053,-81.3993846,24.309,16.36750,197,2014,7.169,-466764.160
82.7194053,-81.3993846,24.324,16.36833,197,2014,7.184,-466454.936
82.7194053,-81.3993848,24.307,16.36917,197,2014,7.167,-466150.086
82.7194053,-81.3993848,24.299,16.37000,197,2014,7.159,-465849.522
82.7194052,-81.3993849,24.307,16.37083,197,2014,7.167,-465553.142
82.7194052,-81.3993852,24.308,16.37167,197,2014,7.168,-465261.126
82.7194052,-81.3993852,24.318,16.37250,197,2014,7.178,-464973.486
82.7194052,-81.3993850,24.325,16.37333,197,2014,7.185,-464689.902
82.7194052,-81.3993847,24.302,16.37417,197,2014,7.162,-464410.586
82.7194053,-81.3993845,24.305,16.37500,197,2014,7.165,-464135.599
82.7194053,-81.3993844,24.293,16.37583,197,2014,7.153,-463865.002
82.7194053,-81.3993843,24.284,16.37667,197,2014,7.144,-463598.401
82.7194053,-81.3993844,24.288,16.37750,197,2014,7.148,-463336.007
82.7194052,-81.3993845,24.267,16.37833,197,2014,7.127,-463077.524
82.7194052,-81.3993844,24.268,16.37917,197,2014,7.128,-462823.131
82.7194053,-81.3993842,24.275,16.38000,197,2014,7.135,-462572.824
82.7194052,-81.3993843,24.282,16.38083,197,2014,7.142,-462326.731
82.7194052,-81.3993839,24.272,16.38167,197,2014,7.132,-462084.724
82.7194052,-81.3993844,24.288,16.38250,197,2014,7.148,-461846.567
82.7194052,-81.3993843,24.292,16.38333,197,2014,7.152,-461612.538
82.7194052,-81.3993847,24.296,16.38417,197,2014,7.156,-461382.757
82.7194052,-81.3993845,24.299,16.38500,197,2014,7.159,-461157.229
82.7194052,-81.3993846,24.296,16.38583,197,2014,7.156,-460935.903
82.7194052,-81.3993844,24.298,16.38667,197,2014,7.158,-460718.375
82.7194052,-81.3993844,24.302,16.38750,197,2014,7.162,-460504.824
82.7194065,-81.3994068,24.270,16.38833,197,2014,7.130,-460295.489
82.7194181,-81.3996287,24.230,16.38917,197,2014,7.090,-460089.905
82.7194203,-81.3996737,24.251,16.39000,197,2014,7.111,-459888.209
82.7194203,-81.3996736,24.248,16.39083,197,2014,7.108,-459690.634
82.7194203,-81.3996736,24.250,16.39167,197,2014,7.110,-459496.799
82.7194217,-81.3997103,24.265,16.39250,197,2014,7.125,-459306.976
82.7194315,-81.3999232,24.192,16.39333,197,2014,7.052,-459120.971
82.7194395,-81.4001263,24.175,16.39417,197,2014,7.035,-458938.755
82.7194479,-81.4003191,24.164,16.39500,197,2014,7.024,-458760.128
82.7194604,-81.4005337,23.981,16.39583,197,2014,6.841,-458585.408
82.7194739,-81.4007642,23.816,16.39667,197,2014,6.676,-458414.311
82.7194870,-81.4009836,23.633,16.39750,197,2014,6.493,-458247.201
82.7195025,-81.4011726,23.492,16.39833,197,2014,6.352,-458083.438
82.7195261,-81.4012988,23.219,16.39917,197,2014,6.079,-457923.197
82.7195488,-81.4013336,23.171,16.40000,197,2014,6.031,-457766.950
82.7195731,-81.4012526,23.007,16.40083,197,2014,5.867,-457613.940
