latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_CGVD28_HTv2,rcvr_clk_ns
82.4428042,-80.3469614,39.667,21.83667,201,2014,22.280,372352.587
82.4428072,-80.3469721,41.367,21.83694,201,2014,23.980,372437.792
82.4428056,-80.3469620,40.245,21.83722,201,2014,22.858,372513.660
82.4428062,-80.3469819,40.491,21.83750,201,2014,23.104,372592.070
82.4428112,-80.3469325,38.004,21.83778,201,2014,20.617,372663.513
82.4428161,-80.3468484,47.780,21.83889,201,2014,30.393,372995.895
82.4428163,-80.3468478,47.950,21.83917,201,2014,30.563,373072.158
82.4428161,-80.3468483,47.813,21.83944,201,2014,30.426,373147.639
82.4428167,-80.3468462,48.149,21.83972,201,2014,30.762,373223.990
82.4428167,-80.3468463,48.135,21.84000,201,2014,30.748,373299.470
82.4428167,-80.3468457,48.117,21.84028,201,2014,30.730,373374.869
82.4428168,-80.3468452,48.167,21.84056,201,2014,30.780,373450.303
82.4428169,-80.3468456,48.155,21.84083,201,2014,30.768,373525.478
82.4428169,-80.3468454,48.180,21.84111,201,2014,30.793,373600.726
82.4428169,-80.3468454,48.141,21.84139,201,2014,30.754,373675.755
82.4428170,-80.3468451,48.175,21.84167,201,2014,30.788,373750.865
82.4428169,-80.3468451,48.143,21.84194,201,2014,30.756,373825.790
82.4428169,-80.3468450,48.126,21.84222,201,2014,30.739,373900.676
82.4428169,-80.3468451,48.147,21.84250,201,2014,30.760,373975.486
82.4428169,-80.3468453,48.143,21.84278,201,2014,30.756,374050.217
82.4428169,-80.3468451,48.160,21.84306,201,2014,30.773,374124.912
82.4428169,-80.3468450,48.148,21.84333,201,2014,30.761,374199.470
82.4428169,-80.3468454,48.171,21.84361,201,2014,30.784,374273.949
82.4428172,-80.3468444,48.337,21.84389,201,2014,30.950,374348.726
82.4428171,-80.3468443,48.332,21.84417,201,2014,30.945,374422.929
82.4428172,-80.3468440,48.327,21.84444,201,2014,30.940,374497.080
82.4428172,-80.3468438,48.318,21.84472,201,2014,30.931,374571.148
