latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_CGVD28_HTv2,rcvr_clk_ns
82.4485748,-80.2538436,53.607,20.17917,203,2014,36.194,-341184.235
82.4485748,-80.2538418,53.600,20.18000,203,2014,36.187,-340839.426
82.4485749,-80.2538413,53.538,20.18083,203,2014,36.125,-340499.175
82.4485749,-80.2538408,53.509,20.18167,203,2014,36.096,-340160.756
82.4485749,-80.2538394,53.609,20.18250,203,2014,36.196,-339822.656
82.4485749,-80.2538385,53.609,20.18333,203,2014,36.196,-339485.096
82.4485750,-80.2538383,53.606,20.18417,203,2014,36.193,-339147.620
82.4485751,-80.2538383,53.533,20.18500,203,2014,36.120,-338810.201
82.4485750,-80.2538391,53.437,20.18583,203,2014,36.024,-338473.184
82.4485750,-80.2538389,53.503,20.18667,203,2014,36.090,-338136.551
82.4485750,-80.2538392,53.482,20.18833,203,2014,36.069,-337466.290
82.4485751,-80.2538398,53.465,20.19000,203,2014,36.052,-336801.188
82.4485751,-80.2538398,53.452,20.19083,203,2014,36.039,-336470.876
82.4485751,-80.2538383,53.380,20.19167,203,2014,35.967,-336142.389
82.4485752,-80.2538375,53.383,20.19250,203,2014,35.970,-335815.561
82.4485752,-80.2538395,53.281,20.19333,203,2014,35.868,-335491.332
82.4485753,-80.2538397,53.309,20.19417,203,2014,35.896,-335169.112
82.4485752,-80.2538398,53.289,20.19500,203,2014,35.876,-334849.046
82.4485750,-80.2538386,53.324,20.19583,203,2014,35.911,-334531.756
82.4485750,-80.2538370,53.384,20.19667,203,2014,35.971,-334217.135
82.4485750,-80.2538374,53.349,20.19750,203,2014,35.936,-333905.429
82.4485750,-80.2538353,53.434,20.19833,203,2014,36.021,-333596.489
82.4485748,-80.2538364,53.446,20.19917,203,2014,36.033,-333290.801
82.4485748,-80.2538367,53.442,20.20000,203,2014,36.029,-332988.549
82.4485751,-80.2538289,53.480,20.20083,203,2014,36.067,-332689.496
82.4485751,-80.2538312,53.381,20.20167,203,2014,35.968,-332394.125
82.4485751,-80.2538323,53.382,20.20250,203,2014,35.969,-332101.922
82.4485752,-80.2538332,53.353,20.20333,203,2014,35.940,-331812.994
82.4485751,-80.2538338,53.326,20.20417,203,2014,35.913,-331527.776
82.4485749,-80.2538340,53.301,20.20500,203,2014,35.888,-331246.156
82.4485748,-80.2538341,53.290,20.20583,203,2014,35.877,-330968.102
82.4485747,-80.2538336,53.241,20.20667,203,2014,35.828,-330694.014
82.4485748,-80.2538342,53.226,20.20750,203,2014,35.813,-330423.905
82.4485744,-80.2538382,53.084,20.20833,203,2014,35.671,-330157.943
82.4485746,-80.2538378,53.107,20.20917,203,2014,35.694,-329896.101
82.4485747,-80.2538372,53.095,20.21000,203,2014,35.682,-329638.326
82.4485747,-80.2538374,53.120,20.21083,203,2014,35.707,-329384.424
82.4485748,-80.2538365,53.103,20.21167,203,2014,35.690,-329134.657
82.4485747,-80.2538363,53.110,20.21250,203,2014,35.697,-328888.980
82.4485746,-80.2538377,53.095,20.21333,203,2014,35.682,-328647.663
82.4485745,-80.2538371,53.021,20.21417,203,2014,35.608,-328410.832
82.4485744,-80.2538370,53.086,20.21500,203,2014,35.673,-328177.627
82.4485746,-80.2538364,53.023,20.21583,203,2014,35.610,-327949.234
82.4485746,-80.2538363,53.022,20.21667,203,2014,35.609,-327724.818
82.4485745,-80.2538360,53.008,20.21750,203,2014,35.595,-327504.516
82.4485745,-80.2538359,52.975,20.21833,203,2014,35.562,-327288.538
82.4485746,-80.2538363,52.990,20.21917,203,2014,35.577,-327076.771
82.4485745,-80.2538357,52.978,20.22000,203,2014,35.565,-326869.362
82.4485744,-80.2538353,52.964,20.22083,203,2014,35.551,-326666.053
82.4485747,-80.2538364,53.021,20.22167,203,2014,35.608,-326467.125
82.4485747,-80.2538366,53.031,20.22250,203,2014,35.618,-326272.796
82.4485747,-80.2538369,53.012,20.22333,203,2014,35.599,-326083.093
82.4485747,-80.2538369,53.018,20.22417,203,2014,35.605,-325897.703
82.4485721,-80.2538212,53.016,20.22500,203,2014,35.603,-325716.710
82.4485650,-80.2536711,53.023,20.22583,203,2014,35.610,-325539.792
82.4485544,-80.2534175,52.848,20.22667,203,2014,35.435,-325367.375
82.4485410,-80.2532000,52.665,20.22750,203,2014,35.252,-325199.346
82.4485252,-80.2529987,52.603,20.22833,203,2014,35.190,-325035.636
82.4485066,-80.2527814,52.395,20.22917,203,2014,34.981,-324876.419
82.4484877,-80.2525836,52.275,20.23000,203,2014,34.861,-324721.612
82.4484664,-80.2523740,52.170,20.23083,203,2014,34.756,-324570.893
82.4484456,-80.2521835,52.071,20.23167,203,2014,34.657,-324424.658
82.4484248,-80.2519846,51.985,20.23250,203,2014,34.571,-324283.144
82.4484038,-80.2517745,51.860,20.23333,203,2014,34.446,-324145.847
82.4483830,-80.2515535,51.687,20.23417,203,2014,34.273,-324012.825
82.4483619,-80.2513340,51.562,20.23500,203,2014,34.148,-323883.965
82.4483399,-80.2511359,51.467,20.23583,203,2014,34.053,-323759.313
82.4483163,-80.2509469,51.412,20.23667,203,2014,33.998,-323638.862
82.4482930,-80.2507632,51.382,20.23750,203,2014,33.968,-323522.568
82.4482730,-80.2505698,51.268,20.23833,203,2014,33.853,-323410.653
82.4482534,-80.2503682,51.219,20.23917,203,2014,33.804,-323302.929
82.4482322,-80.2501805,51.156,20.24000,203,2014,33.741,-323199.448
