latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_CGVD28_HTv2,rcvr_clk_ns
82.4449913,-80.2151074,52.745,20.74417,203,2014,35.316,-70357.072
82.4449913,-80.2151076,52.760,20.74500,203,2014,35.331,-70074.319
82.4449913,-80.2151075,52.758,20.74583,203,2014,35.329,-69797.568
82.4449913,-80.2151078,52.749,20.74667,203,2014,35.320,-69525.948
82.4449913,-80.2151077,52.735,20.74750,203,2014,35.306,-69258.686
82.4449914,-80.2151076,52.748,20.74833,203,2014,35.319,-68995.698
82.4449913,-80.2151073,52.745,20.74917,203,2014,35.316,-68737.034
82.4449914,-80.2151072,52.739,20.75000,203,2014,35.310,-68483.015
82.4449913,-80.2151075,52.735,20.75083,203,2014,35.306,-68233.542
82.4449913,-80.2151073,52.734,20.75167,203,2014,35.305,-67988.833
82.4449913,-80.2151070,52.733,20.75250,203,2014,35.304,-67748.991
82.4449913,-80.2151070,52.745,20.75333,203,2014,35.316,-67514.088
82.4449913,-80.2151072,52.731,20.75417,203,2014,35.302,-67284.399
82.4449913,-80.2151072,52.736,20.75500,203,2014,35.307,-67060.245
82.4449912,-80.2151072,52.738,20.75583,203,2014,35.309,-66841.417
82.4449912,-80.2151071,52.745,20.75667,203,2014,35.316,-66627.891
82.4449912,-80.2151069,52.751,20.75750,203,2014,35.322,-66420.026
82.4449913,-80.2151069,52.746,20.75833,203,2014,35.317,-66217.783
82.4449913,-80.2151067,52.765,20.75917,203,2014,35.336,-66021.129
82.4449952,-80.2150706,52.815,20.76000,203,2014,35.386,-65830.305
82.4450071,-80.2149518,52.961,20.76083,203,2014,35.532,-65645.483
82.4450178,-80.2147967,53.110,20.76167,203,2014,35.681,-65466.767
82.4450264,-80.2146247,53.154,20.76250,203,2014,35.725,-65294.017
82.4450320,-80.2144865,53.151,20.76333,203,2014,35.722,-65127.381
82.4450384,-80.2143278,53.211,20.76417,203,2014,35.782,-64966.609
82.4450436,-80.2142182,53.174,20.76500,203,2014,35.745,-64812.062
82.4450487,-80.2141323,53.192,20.76583,203,2014,35.763,-64663.135
82.4450547,-80.2140552,53.111,20.76667,203,2014,35.682,-64520.693
82.4450574,-80.2140398,53.109,20.76750,203,2014,35.680,-64383.856
82.4450664,-80.2139532,53.142,20.76833,203,2014,35.713,-64252.742
